Category	Title				
Arts & Humanities	Conservative Home Blog				
Arts & Humanities	Cornish World Magazine				
Arts & Humanities	CreativeTourist.com - Manchester's Guide for the Creative Tourist				
Arts & Humanities	Credit Crunch Blog				
Arts & Humanities	Croeso i Gyngor Sir Ddinbych - Welcome to Denbighshire County Council: Smoke Ban - Gwahardd Smygu: Smoke ban - Gwahardd smygu				
Arts & Humanities	Cumbernauld Media				
Arts & Humanities	DELGA				
Arts & Humanities	DUP: Dodds Highlights 2012 Opportunities at NIQ's				
Arts & Humanities	DUP: First Minister Leads Assembly Tributes to HM Queen				
Arts & Humanities	DUP: McCrea focuses on Ulster's Diamond Jubilee Role				
Arts & Humanities	Daily Post				
Arts & Humanities	Dartford Liberal Democrats				
Arts & Humanities	David Smith's EconomicsUK.com				
Arts & Humanities	David Willetts, Conservative Parliamentary Candidate, Havant				
Arts & Humanities	De Montfort University: Royal Visit 2012				
Arts & Humanities	DeadBrain				
Arts & Humanities	DeadBrain (Avian and Pandemic Influenza)				
Arts & Humanities	DeadBrain: Bird Flu - Police overwhelmed by crank calls to supermarket poultry aisles				
Arts & Humanities	DeadBrain: Bird Flu - Troops to secure, seal off Norfolk				
Arts & Humanities	"Deadbrain: Bird Flu - Terrorist link proven ""without a doubt"""				
Arts & Humanities	Debrett's: The Queen's Diamond Jubilee				
Arts & Humanities	Department for Culture Media Sport - Diamond Jubilee				
Arts & Humanities	Department for Culture, Media and Sport				
Arts & Humanities	DestinAsian: Hong Kong: Diamond Jubilee Events at Mandarin Oriental				
Arts & Humanities	Diamond Jubilee - Tyne and Wear				
Arts & Humanities	Diamond Jubilee Pageant  - Windsor Castle May 2012				
Arts & Humanities	Diamond Jubilee Stamps				
Arts & Humanities	Diamond Jubilee Supplies				
Arts & Humanities	Diamond Jubilee, Celebrating 60 years				
Arts & Humanities	Diocese of Bath & Wells: Queen's Diamond Jubilee 2012				
Arts & Humanities	Dr Charlotte MacKenzie, Labour Parliamentary Candidate, Truro and St Austell				
Arts & Humanities	Dr Stephen Ladyman, Labour Parliamentary Candidate, South Thanet				
Arts & Humanities	EU4Journalists: Dossiers - Elections 2009				
Arts & Humanities	EUobserver.com: Pan-Europe Libertas Party launched to fight 'anti-democratic' Brussels				
Arts & Humanities	Ealing North Conservatives				
Arts & Humanities	Ealing Southall Conservatives				
Arts & Humanities	Eddie Hughes, Conservative Parliamentary Candidate, Birmingham Hall Green				
Arts & Humanities	Edinburgh Military Tattoo Celebrates HM The Queen's 60th Year				
Arts & Humanities	Edward Davey, Lib Dem Parliamentary Candidate, Kingston and Surbiton				
Arts & Humanities	Eisteddfod Genedlaethol Cymru - The National Eisteddfod of Wales				
Arts & Humanities	Eisteddfod Genedlaethol Sir Ddinbych 2001				
Arts & Humanities	Ekklesia				
Arts & Humanities	Ekklesia: Royal jubilee celebrations trigger republican protests				
Arts & Humanities	Election Project, The				
Arts & Humanities	Election Watch - UK 2005 General Election				
Arts & Humanities	Electronic Iraq				
Arts & Humanities	Ellee Seymour, ProActive PR				
Arts & Humanities	Euranet - European radio network: Election Night				
Arts & Humanities	Europhobia				
Arts & Humanities	Experience Seven: My Very Royal Experience				
Arts & Humanities	FaceBritain Kids				
Arts & Humanities	Faner Newydd, Y				
Arts & Humanities	Farting through my Fingertips				
Arts & Humanities	Film and Video Umbrella				
Arts & Humanities	Fiona Mactaggart, Labour Parliamentary Candidate, Slough				
Arts & Humanities	Flickr: London Stands				
Arts & Humanities	Football Italiano				
Arts & Humanities	Formations				
Arts & Humanities	Friend, The				
Arts & Humanities	Gakuranman - Illuminating Japan				
Arts & Humanities	Garry Otton's Scottish media monitor				
Arts & Humanities	Gay UK News				
Arts & Humanities	Gazette News: Teesside's Olympic torch route is revealed				
Arts & Humanities	Get Surrey: Olympic torch route for Surrey revealed				
Arts & Humanities	Get Together South Staffordshire				
Arts & Humanities	Gibfocus				
Arts & Humanities	Gillingham Liberal Democrats				
Arts & Humanities	Gisela Stuart, Labour Parliamentary Candidate, Birmingham Edgbaston				
Arts & Humanities	Global Voices Online. The World is Talking. Are you listening?				
Arts & Humanities	Global Voices: Swine flu threat spreads worldwide				
Arts & Humanities	Golden Jubilee Website				
Arts & Humanities	Golwg360				
Arts & Humanities	Good News Chronicle, The				
Arts & Humanities	Gordon & McPhail: Diamond Jubilee Limited Edition Scotch Whiskey				
Arts & Humanities	Gorymdaith Genedlaethol G&#373;yl Ddewi - The National St David's Day Parade				
Arts & Humanities	Gospel Magazine, The				
Arts & Humanities	Gwyn Prosser, Labour Parliamentary Candidate, Dover and Deal				
Arts & Humanities	HU12.Net				
Arts & Humanities	Haikugirl's Japan				
Arts & Humanities	Hammorabi				
Arts & Humanities	Hampshire County Council: The Queen's Diamond Jubilee Celebrations				
Arts & Humanities	Hampstead and Highgate Liberal Democrats				
Arts & Humanities	Harlow Star: Olympic torch route through Harlow revealed				
Arts & Humanities	Harry's Place				
Arts & Humanities	Hastings and St. Leonards Observer: Olympic torch route announced				
Arts & Humanities	Heathrow Skyport: BA 747 takes to the skies with girl's Jubilee design				
Arts & Humanities	Hedon Blog				
Arts & Humanities	Hemel Hempstead Liberal Democrats				
Arts & Humanities	Henley Standard: Queen to visit Henley for Diamond Jubilee				
Arts & Humanities	HerUni.com - The London Uni Girl's Go-To-Guide				
Arts & Humanities	High Sheriff of Hertforshire: Diamond Jubilee 2012				
Arts & Humanities	Holborn Conservatives				
Arts & Humanities	Horsted Keynes Diamond Jubilee Organising Committee				
Arts & Humanities	Howard Stoate, Labour Parliamentary Candidate, Dartford				
Arts & Humanities	Hoylake Junction				
Arts & Humanities	Huddersfield Daily Examiner: Oympics torch route confirmed for Huddersfield				
Arts & Humanities	Hull and East Riding: The Queen visits Hull ... in secret				
Arts & Humanities	INNATE - Irish Network for Nonviolent Action Training & Education				
Arts & Humanities	Iceland and United Kingdom in diplomatic dispute over financial crisis				
Arts & Humanities	Ici Londres Magazine				
Arts & Humanities	Ici Londres Magazine: Reflets de France arrive en Angleterre				
Arts & Humanities	Igbo News				
Arts & Humanities	In Balance Magazine				
Arts & Humanities	In Your Face				
Arts & Humanities	In through the outfield: Royal Diamond Jubilee, Olympic and Paralympic souvenirs				
Arts & Humanities	Indymedia UK				
Arts & Humanities	Inside The Games				
Arts & Humanities	International Federation of Library Associations and Institutions: Post Tsunami activities				
Arts & Humanities	International Police Association: Diamond Jubilee				
Arts & Humanities	Internet Journey				
Arts & Humanities	Irish Central: Route for London Olympics 2012 torch in Ireland revealed				
Arts & Humanities	Isle of Wight Press Online: Olympic torch route revealed				
Arts & Humanities	Italiani a Londra				
Arts & Humanities	Jaggy thistle				
Arts & Humanities	James Sproule, Conservative Parliamentary Candidate, Streatham				
Arts & Humanities	Jamie Bolden, Labour Parliamentary Candidate, Broxbourne				
Arts & Humanities	Jane's Information Group				
Arts & Humanities	Japanory				
Arts & Humanities	Jeffrey Donaldson, Democratic Unionist Parliamentary Candidate, Lagan Valley				
Arts & Humanities	John Hemming's Web Log				
Arts & Humanities	John Redwood, Conservative Parliamentary Candidate, Wokingham				
Arts & Humanities	Jonathan Gough, Conservative Parliamentary Candidate, Acton				
Arts & Humanities	Journal, The: EU elections - get out and vote!				
Arts & Humanities	Journalism.co.uk				
Arts & Humanities	Jubilee Churches Festival				
Arts & Humanities	Jubilee People's Millions				
Arts & Humanities	Jubilee Time Capsule				
Arts & Humanities	Jubilee Walkway Trust				
Arts & Humanities	Judith Blake, Labour Parliamentary Candidate, Leeds North West				
Arts & Humanities	Julian Brazier, Conservative Parliamentary Candidate, Canterbury				
Arts & Humanities	Kensington and Chelsea Labour Party				
Arts & Humanities	Kensington and Chelsea Liberal Democrats				
Arts & Humanities	Keswick Jubilee				
Arts & Humanities	Kingswood Conservatives				
Arts & Humanities	KnockBack Magazine				
Arts & Humanities	LAGNA - Lesbian and Gay News Media Archive				
Arts & Humanities	La Petite Feministe Anglaise				
Arts & Humanities	Labour Start UK				
Arts & Humanities	Lancashire Queen's Diamond Jubilee Committee, The				
Arts & Humanities	Laura Moffat, Labour Parliamentary Candidate, Crawley				
Arts & Humanities	Learn Welsh - the Big Welsh Challenge				
Arts & Humanities	Liberal Democrats in Business				
Arts & Humanities	London Hurts				
Arts & Humanities	London Labour Party				
Arts & Humanities	London bombings: ABC News Map				
Arts & Humanities	Londonist				
Arts & Humanities	Londonist: Olympic News Round-Up				
Arts & Humanities	Lord Lieutenant of Devon: Diamond Jubilee				
Arts & Humanities	Lord Mayor's Diamond Jubilee Big Curry, The				
Arts & Humanities	Loughborough Liberal Democrats				
Arts & Humanities	Love For All Hatred For None: Ahmadiyya Muslim community:				
Arts & Humanities	Make Poverty History				
Arts & Humanities	Manchester Mule				
Arts & Humanities	Manx Radio				
Arts & Humanities	Manx Telecom's Internet Service				
Arts & Humanities	MapAction				
Arts & Humanities	Marxism Festival				
Arts & Humanities	Matthew Taylor, Lib Dem Parliamentary Candidate, Truro and St Austell				
Arts & Humanities	Matthew's RSA Blog				
Arts & Humanities	Mayor of London Presents A Summer Like No Other 2012				
Arts & Humanities	Media UK				
Arts & Humanities	Media office of Hizb ut-Tahrir				
Arts & Humanities	Memex 1.1 - John Naughton's online diary				
Arts & Humanities	Mercator Media - Cyfryngau - Média				
Arts & Humanities	Met Office				
Arts & Humanities	Methodist Church				
Arts & Humanities	Metroblogging London				
Arts & Humanities	Michael Fallon, Conservative Parliamentary Candidate, Sevenoaks				
Arts & Humanities	Michael Foster, Labour Parliamentary Candidate, Hastings and Rye				
Arts & Humanities	Michael Howard, Conservative Parliamentary Candidate, Folkestone and Hythe				
Arts & Humanities	Migration Watch UK				
Arts & Humanities	Milngavie Herald: Queen's Jubilee blanked in Bearsden and Milngavie as council relaxes party rules				
Arts & Humanities	Minehead Diamond Jubilee Clock Tower				
Arts & Humanities	Mule - news with a kick				
Arts & Humanities	My Cornelly				
Arts & Humanities	NATO Watch				
Arts & Humanities	NW3 News				
Arts & Humanities	National Council for Voluntary Organisations, Manifesto				
Arts & Humanities	National Express: Jubilee Time Capsule				
Arts & Humanities	National Historic Ships: Queen's Diamond Jubilee Pageant				
Arts & Humanities	National Portrait Gallery Exhibition: The Queen: Art and Image				
Arts & Humanities	National Trust: Top Tea Parties				
Arts & Humanities	National Union of Students Education Manifesto				
Arts & Humanities	New Black Magazine, The				
Arts & Humanities	New Civil Engineer (NCE)				
Arts & Humanities	New Left Project				
Arts & Humanities	Newry Drama Festival - Diamond Jubilee Celebrations				
Arts & Humanities	News Distribution Service, The Central Office of Information (COI)				
Arts & Humanities	News Now				
Arts & Humanities	Newsplan Cymru				
Arts & Humanities	Nicholas Soames, Conservative Parliamentary Candidate, Mid Sussex				
Arts & Humanities	Nick Palmer, Labour Parliamentary Candidate, Broxtowe				
Arts & Humanities	Ninja without a clue				
Arts & Humanities	No2NuclearPower				
Arts & Humanities	North Down Tourism: Queen's Diamond Jubilee Events				
Arts & Humanities	North Tyneside Conservatives				
Arts & Humanities	Northamptonshire Evening Telegraph: Excitement in Corby at the Queen's planned Diamond Jubilee visit				
Arts & Humanities	Northamptonshire Evening Telegraph: Queen coming to north Northamptonshire for Diamond Jubilee visit				
Arts & Humanities	Northern Echo, The: Queen completes whistle-stop tour of the region				
Arts & Humanities	Occupied Times of London, The				
Arts & Humanities	Official Website of the British Monarchy				
Arts & Humanities	Official website of the Queen's Diamond Jubilee				
Arts & Humanities	One Guy from Barlick				
Arts & Humanities	One day in Pakistan: Views and news				
Arts & Humanities	Original Sims, The				
Arts & Humanities	Orwell Prize, The				
Arts & Humanities	Oxhill News: Queen's Diamond Jubilee, 2012				
Arts & Humanities	Paul Burstow MP				
Arts & Humanities	Pearson				
Arts & Humanities	Penny Red				
Arts & Humanities	Pensioners Manifesto				
Arts & Humanities	People with Voices				
Arts & Humanities	Peter Kilfoyle, Labour Parliamentary Candidate, Liverpool Walton				
Arts & Humanities	Peter Robinson, DUP Parliamentary Candidate, East Belfast				
Arts & Humanities	Peterborough Conservatives				
Arts & Humanities	Pfff - A response to anything negative				
Arts & Humanities	Piccadilly Big Jubilee Lunch				
Arts & Humanities	Pickled Politics				
Arts & Humanities	Ping Wales: Welsh IT News Online: www.pingwales.co.uk				
Arts & Humanities	Polish Observer, The				
Arts & Humanities	Politics.co.uk				
Arts & Humanities	Pontefract and Castleford Express: Olympic Torch street route announced				
Arts & Humanities	Port Talbot MagNet				
Arts & Humanities	Post Political Times				
Arts & Humanities	Prescribing Advice for GPs: Swine Flu				
Arts & Humanities	Press Complaints Commission				
Arts & Humanities	Press TV				
Arts & Humanities	Presseurop.eu				
Arts & Humanities	Prince of Wales, The				
Arts & Humanities	Protecting Animals in Democracy				
Arts & Humanities	Quds Press				
Arts & Humanities	Queen Elizabeth II Fields Challenge 2012				
Arts & Humanities	Queen's Diamond Jubilee - celebrations and events				
Arts & Humanities	Queen's Diamond Jubilee Beacons, The				
Arts & Humanities	Queen's Diamond Jubilee Regatta				
Arts & Humanities	Queen's Diamond Jubilee, The				
Arts & Humanities	Quest				
Arts & Humanities	Quickrelease.tv				
Arts & Humanities	RESPECT - The Unity Coalition				
Arts & Humanities	Rachel from North London				
Arts & Humanities	Random Acts of Reality - Trying to kill as few people as possible				
Arts & Humanities	ReConnect Africa				
Arts & Humanities	Reading Post: Olympic Torch Reading route confirmed				
Education & Research	Digital Academic Records Exchange (DARE)				
Education & Research	Digital Asset Assessment Tool (DAAT)				
Education & Research	Digital Certificate Operation in a Complex Environment				
Education & Research	Digital Communication and Student Mental Health				
Education & Research	Digital Curation Centre				
Education & Research	Digital Curation Centre forum				
Education & Research	Digital Egypt for Universities				
Education & Research	Digital Literacies for Organisational Development in Higher Education				
Education & Research	Digital Literacies for the Staff Development Forum				
Education & Research	Digital Literacies in Transition - A Model for Transforming Graduate Attributes				
Education & Research	Digital Preservation Benefit Analysis Tools				
Education & Research	Digital Preservation Coalition				
Education & Research	Digitally Enhanced Patchwork Text Assessment (DePTA)				
Education & Research	Digitally Ready				
Education & Research	Digitisation of the Independent Radio News Archive				
Education & Research	Digitised Resources: A Usage and Impact Study				
Education & Research	Digitising the York Cause Papers				
Education & Research	Disabled Learners' Experience of e-learning (LExDis)				
Education & Research	Discover: A Metadata Ecology for UK Education & Research				
Education & Research	Distributed Open University Learning Systems (DOULS)				
Education & Research	Docusend : Integrating Document Delivery Services				
Education & Research	Dominic Shellard (DMUVC) on Twitter				
Education & Research	Dr Sandra Courtman				
Education & Research	Dr Sarah-Louise Quinnell				
Education & Research	Dryad UK				
Education & Research	Dynamic Configuration of Grid Fabrics for OGSA Services				
Education & Research	Dynamic Learning Maps				
Education & Research	Dynamic Virtual Organisations in e-Science Education				
Education & Research	E-Assessment in Wales				
Education & Research	E-Book Acquisition as a Shared Service in M25 (E-BASS25)				
Education & Research	E-Learning in Mathematical Subjects (ELMS)				
Education & Research	E-Publishing Infrastructure Capitalising on UCLs Repositories (EPICURE)				
Education & Research	EBEAM: Evaluating the Benefits of Electronic Assessment Management				
Education & Research	ECSTASY : Enhanced Collaboration with Shared Tools for Art/Design System and Communication				
Education & Research	EDINA Xgrain Project : cross-searching specialist databases for learning and teaching				
Education & Research	EDIT4L				
Education & Research	EELLS - East of England Lifelong Learning Support				
Education & Research	EERN: The East of England's Educational Resource Network				
Education & Research	EEVL : The Internet Guide to Engineering, Mathematics and Computing				
Education & Research	EFFECT: Evaluating feedback for e-learning:centralised tutors				
Education & Research	EFSCE : E-Framework Services for Course Evaluation				
Education & Research	EGRET : Engaging Responses to Emerging Responses				
Education & Research	ELF Search Service Demonstrator				
Education & Research	ELVI : Evaluation of a Large-scale VRE Implementation				
Education & Research	ELVIS : E-Learning in Vocational Informatics Skills				
Education & Research	EM-Loader				
Education & Research	ENABLE project				
Education & Research	ENGAGE (ENGage Academic Groups with E-Infrastructure)				
Education & Research	ENHANCE - UWIC's Building Capacity Project				
Education & Research	ENROLLER: An Enhanced Repository for Language and Linguistics Researchers				
Education & Research	EPCC Interactive Courseware : future directions				
Education & Research	EPIC - Evaluating Plato in Cambridge				
Education & Research	EPICS - North East regional collaboration around e-portfolio progression pathways with illustrative studies				
Education & Research	EPRESS : Electronic Publishing Resource Service				
Education & Research	ERA-AGE - The European Research Area in Ageing				
Education & Research	EREWHON				
Education & Research	ERIM (Engineering Research Information Management)				
Education & Research	ESCAPE Project: Effecting Sustainable Change in Assessment Practice and Experience				
Education & Research	ESCalate - The Higher Education Academy				
Education & Research	ESP-GRID: Evaluation of Shibboleth and PKI for Grids				
Education & Research	EThOS Project : Electronic Theses Online Service				
Education & Research	EVIE: Embedding a VRE in an Institutional Environment				
Education & Research	Early Modern Texts Forum				
Education & Research	East London Lives 2012				
Education & Research	East London Lives 2012: A Living Archive				
Education & Research	East London Lives 2012: Introductory Pages				
Education & Research	Economic Impact of the British Atmospheric Data Centre (BADC)				
Education & Research	Economics Help				
Education & Research	EdBank Project				
Education & Research	EdSpace				
Education & Research	Edinburgh Data-Intensive Research				
Education & Research	Edinburgh University Data Library				
Education & Research	EduLib : Educational Development for Higher Education Library Staff				
Education & Research	Education Portal (British Education Index)				
Education & Research	Education-line : Electronic Texts in education and training				
Education & Research	Electronic Atlas of Industrialising Great Britain				
Education & Research	Electronic Books ON-Screen Interface (EBONI)				
Education & Research	Electronic Document Delivery : the Integrated Solution (EDDIS)				
Education & Research	Electronic Journal and Learned Societies project				
Education & Research	Electronic Readings in Management Studies (ERIMS)				
Education & Research	Electronic Records Management Training Package				
Education & Research	Electronic Reserve Copyright Management System (ERCOMS)				
Education & Research	Electronic Seminars in History				
Education & Research	Electronic Stacks Project : A Logic Community, Journals and a Dictionary on the Net				
Education & Research	Electronic Theses				
Education & Research	Electronic Voting Analysis and Feedback for All				
Education & Research	Embed Project				
Education & Research	Embedding Institutional Data Curation Services in Research (EIDCSR)				
Education & Research	Embedding repositories & consortial enhancement SHERPA-LEAP (EMBRACE)				
Education & Research	Employer Based Training Accreditation - EBTA				
Education & Research	Employer Engagement Systems and Process - Small Scale Pilot - CRM4UNI				
Education & Research	EnCoRe: Enriching Courses with Resources				
Education & Research	Enabling Benchmarking Excellence Project				
Education & Research	Enabling Grids e-Science Phase 2 (EGEE II)				
Education & Research	Enabling Uptake of e-Infrastructure Services				
Education & Research	Encapsulate				
Education & Research	Energy Conservation in Computing Intensive Learning Environments (ECCILES)				
Education & Research	Engage - Using Data about Research Clusters to Enhance Collaboration				
Education & Research	Engaging Alumni Through PDP (EAT-PDP)				
Education & Research	Engineering Subject Centre - The Higher Education Academy				
Education & Research	Engineering a Low Carbon Future OER				
Education & Research	Engineering and Physical Sciences Research Council (EPSRC)				
Education & Research	English Subject Centre - The Higher Education Academy				
Education & Research	EnglishClub				
Education & Research	Enhanced Tagging for Discovery				
Education & Research	Enhancement Themes				
Education & Research	Enhancing Learner Progression Project				
Education & Research	Enhancing Lectures Through Automated Capture (ELTAC)				
Education & Research	Enhancing Repository Infrastructure in Scotland (ERIS)				
Education & Research	Enigma Project				
Education & Research	Enlightening Science: Teaching and Learning Newtonianism in the 18th and 21st Centuries				
Education & Research	Enrich				
Education & Research	Environment, Poverty and Health, Re-useable Module (EPHRUM)				
Education & Research	EuroStudies Gateway				
Education & Research	European Election Study (EES) Trend File, Trinity College Dublin				
Education & Research	Eurotext				
Education & Research	Evaluation of Assessment Diaries and GradeMark at the University of Glamorgan				
Education & Research	Evaluation of the Community Authorisation Server				
Education & Research	Ex Historia, University of Exeter				
Education & Research	ExPOUND: Explaining proofs: Offering understanding through notated demonstrations				
Education & Research	Exam View - Integrating Key Student Systems with the VLE				
Education & Research	Exchanging Research Information in the UK (EXRI)				
Education & Research	Exeter CASCADE Project - Cascading Research-like digital Literacy Skills at Exeter				
Education & Research	Exploiting Access Grid Activity Data				
Education & Research	Exploiting geo-spatial datasets to enhance crime analysis and related research methods				
Education & Research	Exploring the experiences of Masters students in technology-rich environments (Thema)				
Education & Research	Exposing VLE Activity Data				
Education & Research	Extending Multilevel Modelling Software using Heterogenous, Cluster and Parallel Computing Technologies (MLN)				
Education & Research	Extending XCRI-CAP with KIS data				
Education & Research	Extending and embedding the university repository service - DRaW - Developing Repositories at Worcester repository service				
Education & Research	Extension to the RDN Virtual Training Suite				
Education & Research	FAILTE : Facilitating Access to Information on Learning Technology for Engineers				
Education & Research	FAIR Enough				
Education & Research	FAME - PERMIS: Flexible Access Middleware Extensions to PERMIS				
Education & Research	FAST (Feedback and Assessment Strategy Testing)				
Education & Research	FAVOR project (Finding a Voice through Open Resources)				
Education & Research	FIDDO (Focused Investigation of Document Delivery Options) Project				
Education & Research	FISHNET: Freshwater Information Sharing Network				
Education & Research	FLAME: Federated Local Access Management Environment				
Education & Research	FOBZU - Friends of Birzeit University				
Education & Research	FREMA - e-learning Framework REference Model for Assessment				
Education & Research	FROCKLE				
Education & Research	FSD Early Adopters Study (FEAST)				
Education & Research	Faculty of Medieval and Modern Languages, University of Oxford				
Education & Research	Faroes: Repositories for Sharing Learning Resources in Distributed Social Spaces				
Education & Research	Federated Access to Repositories (FAR)				
Education & Research	Fedorazon				
Education & Research	Feedforward				
Education & Research	File Format Representation and Rendering Project				
Education & Research	First World War Digital Poetry Archive				
Education & Research	Florence Nightingale Foundation, The				
Education & Research	Flourish				
Education & Research	FlowTalk				
Education & Research	FlyWeb: Linking Laboratory Image Data with Public Databases and Publication Repositories				
Education & Research	Focusing Images for Learning and Teaching : an Enriched Resource (FILTER) Project				
Education & Research	Forensic Investigation of Digital Objects (FIDO)				
Education & Research	Forging Restful Services for e-Humanities - FReSH				
Education & Research	Formations				
Education & Research	Frema2wiki				
Education & Research	French Capital - A Study of French Highly Skilled Migrants in London's Financial and Business Sectors				
Education & Research	From Cemetery to Clinic: Digitised Pathological Data				
Education & Research	From Entry to EThOS				
Education & Research	From history to her story				
Education & Research	Futurage - a road map for ageing research				
Education & Research	Future of Higher Education				
Education & Research	G-FIV-O [Grouper to support Federated Identity for Virtual Organizations]				
Education & Research	GEMMA : Geospatial Engine for Mass Mapping Applications				
Education & Research	GEMS : Grid Enabling MIMAS Services				
Education & Research	GEsource: geography and environment gateway for UK HE and FE				
Education & Research	GLAM: Global Access Management				
Education & Research	GLASS : GLASgow Implementation of Shibboleth				
Education & Research	GRADE Project: Scoping a Geospatial Repository for Academic Deposit and Extraction				
Education & Research	GROWL: VRE Programming Toolkit and Applications				
Education & Research	GRanularity, Audit, N-tier, and Delegation (GRAND)				
Education & Research	GUANXI				
Education & Research	Gate-Z : a protocol gateway to support use of the Bath Profile				
Education & Research	General Union of Palestinian Students (GUPS UK)				
Education & Research	Generation 4				
Education & Research	Generic Integrated Management Information Systems (GIMIS)				
Education & Research	Genomics at Liverpool				
Education & Research	Geo-Data Browser project documents				
Education & Research	GeoSci: a teacher-based geo-spatial application for orchestrating scientific fieldwork activity				
Education & Research	Geospatial Engagement and Community Outreach				
Education & Research	Glasgow Effective Records Management Project (ERM)				
Education & Research	Go-Geo! Phase 2 Project documents				
Education & Research	Go-Geo! The Geo-Data Portal Project (Phase 3)				
Education & Research	GoSLuRP (Goldsmiths Student Lifecycle Relationship Project)				
Education & Research	Gold Dust				
Education & Research	Graduate Recruitment Intelligence				
Education & Research	Great Writers Inspire: Learning from the Past				
Education & Research	Green ICT: Managing environmentally sustainable ICT in education and research				
Education & Research	Green in silico				
Education & Research	Greening Events				
Education & Research	Greening Information Management				
Education & Research	Greenview				
Education & Research	Grid Enabling EDINA SErvices (GEESE)				
Education & Research	Grid-SAFE				
Education & Research	GroupLog				
Education & Research	GuildHE				
Education & Research	HALOGEN - History Archaeology Linguistics Onomastics and GENetics				
Education & Research	HANABI : HAndheld-device enhanced learning with Nintendo's Applications Beyond Institution and country				
Education & Research	HEA Centre for Bioscience OER Project Blog				
Education & Research	HEADLINE : Hybrid Electronic Access and Delivery In the Library Networked Environment				
Education & Research	HEDG: Strategic Approach to Dissemination of Digital Literacies for Enhancement (SADDLE)				
Education & Research	HELIX : Higher Education Library for Image eXchange				
Education & Research	HERO : Higher Education and Research Opportunities				
Education & Research	HERO : Higher Education and Research Opportunities				
Education & Research	HERON Project				
Education & Research	HIKE: Huddersfield, Intota, KnowledgeBase+ Evaluation				
Education & Research	HILT : High Level Thesaurus Project				
Education & Research	HORUS e-Learning Management (HeLM)				
Education & Research	HORUS e-Learning Management Extension for Tutors (HeLMET)				
Education & Research	HOST UK				
Education & Research	HOTBED : Handing On Tradition By Electronic Dissemination				
Education & Research	HaIRST: Harvesting Institutional Resources in Scotland Testbed				
Education & Research	Harvesting the Fitzwilliam				
Education & Research	Health Sciences and Practice Subject Centre - The Higher Education Academy				
Education & Research	Health and Life Science Open Educational Resources (HALS OER)				
Education & Research	Healthier Nation				
Education & Research	Heat and light by timetable				
Education & Research	HerUni.com - The London Uni Girl's Go-To-Guide				
Education & Research	High Level Domain Architecture mapping (HiLDA)				
Education & Research	Higher Education Academy				
Education & Research	Higher Education E-Portfolio Scenario Study (HEEPSS)				
Education & Research	Higher Education Empirical Research Database				
Education & Research	Higher Education Funding Council for England (HEFCE)				
Education & Research	Higher Education Learning Portfolio for Placements (HELPP)				
Education & Research	Higher Education Lifelong Learning Opportunities (HELLO Project)				
Education & Research	History DMP				
Education & Research	History On-Line				
Education & Research	Hospitality, Leisure, Sport & Tourism Network - The Higher Education Academy				
Education & Research	How green was my videoconference?				
Education & Research	Huddersfield Open Access Publishing (HOAP)				
Education & Research	Humbul Humanities Hub				
Education & Research	HyLiFe : The Hybrid Library of the Future				
Education & Research	Hybrid Archives Project				
Education & Research	Hydrangea: letting the repository flower				
Education & Research	I-WIRE (Integrated Workflow for Institutional Repository Enhancement) Project				
Education & Research	IAMSECT: Inter-Institutional Authorisation Management to Support eLearning with reference to Clinical Teaching				
Education & Research	ICONEX : Interactive Content Exchange				
Education & Research	IDMB : Institutional Data Management Blueprint				
Education & Research	IHR-Info				
Education & Research	IMESH Toolkit: An architecture and toolkit for distributed subject gateways				
Education & Research	IMPACT : Improving the Management and Practice of Applications Development using Cluster Technologies				
Education & Research	IMPEL2 : Monitoring Organisational and Cultural Change				
Education & Research	IMPETUS : Infrastructure for Multi-Professional Education and Training Using Shibboleth				
Education & Research	IMS Learning Design for Practitioners (LD4P)				
Education & Research	IMS content packaging and management				
Education & Research	INFORMS : The Information Skills Project				
Education & Research	INLEI : The Impact of Large-scale Networked Learning on Educational Institutions				
Education & Research	INSIDE : An Institutionally Secure Integrated Data Environment				
Education & Research	INSPECT : Investigating the Significant Properties of Electronic Content over Time				
Education & Research	INSPIRAL : INveStigating Portals for Information Resources And Learning				
Education & Research	INteractive VIsual Search and QUery Environment (INVISIQUE)				
Education & Research	IRIOS-2				
Education & Research	IRIScotland: Institutional Repository Infrastructure for Scotland				
Education & Research	IRRA: Institutional Repositories and Research Assessment				
Education & Research	IRS: Interoperable Repository Statistics				
Education & Research	ISIS (Integrating SImple Sequencing)				
Education & Research	ISLE : Individualised Support for Learners through ePortfolios				
Education & Research	ISME: Integration & Steering of Multi-site Experiments to Assemble Engineering Body Scans				
Education & Research	ISTHMUS : Linking the personal and institutional in learning technologies				
Education & Research	ISTHMUS blog				
Education & Research	Ibuilding				
Education & Research	Ict4biz (Sweet.NET Demonstrator)				
Education & Research	Identity & access management using social networking technologies				
Education & Research	Identity Management Toolkit				
Education & Research	Identity Project				
Education & Research	Identity Supporting Personalised Progression Spaces (iCaboodle)				
Education & Research	Image Collections Registry				
Education & Research	Impact and Embedding of An Established Resource: British History Online as a Case Study				
Education & Research	Imperial College London: Imperial Centre for Energy Policy and Technology (ICEPT)				
Education & Research	Implementing the Kepler Workflow Interface into the Cheshire Digital Library Framework and the Sakai Virtual Research Environment				
Education & Research	Improving the Usability and Learnability of the e-Science Central Service Development Kit				
